TimeStamp		 Channel 00	 Channel 01
00:00:00.5667059	 ,-0.0801  V	,-0.0835  V	
00:00:00.5668024	 ,0.1091  V	,0.1201  V	
00:00:00.5668976	 ,-0.0819  V	,-0.1314  V	
00:00:00.5669883	 ,-0.4900  V	,-0.5092  V	
00:00:00.5670815	 ,-0.0813  V	,-0.1418  V	
00:00:00.5671755	 ,-0.7732  V	,-0.8037  V	
00:00:00.5672733	 ,-0.0697  V	,-0.0984  V	
00:00:00.5673644	 ,-0.4707  V	,-0.4863  V	
00:00:00.5674839	 ,-0.0670  V	,-0.0441  V	
00:00:00.5676087	 ,0.1689  V	,0.1802  V	
00:00:00.5677043	 ,-0.0673  V	,-0.0160  V	
00:00:00.5678041	 ,0.6374  V	,0.6682  V	
00:00:00.6406348	 ,-0.0749  V	,-0.0517  V	
00:00:00.6408384	 ,0.5016  V	,0.5306  V	
00:00:00.6410170	 ,-0.0801  V	,-0.1021  V	
00:00:00.6411865	 ,-0.0853  V	,-0.0853  V	
00:00:00.6413528	 ,-0.0862  V	,-0.1415  V	
00:00:00.6415187	 ,-0.6676  V	,-0.6917  V	
00:00:00.6416808	 ,-0.0761  V	,-0.1283  V	
