Time				DIO0		DIO1		DIO2		DIO3		DIO4		DIO5		DIO6		DIO7		DIO8		DIO9		DIO10		DIO11		DIO12		DIO13		DIO14		DIO15
00:00:14.5679714		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5681459		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5683196		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5684916		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5686373		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5687786		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5689428		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5691169		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5692630		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5693952		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5695483		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5697076		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5698612		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5700324		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5701847		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5703694		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5705447		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5707213		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5708945		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5710973		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5712496		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5714233		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5715986		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6412461		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6414235		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6415791		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6417474		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6419129		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6421046		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6422910		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6424597		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6425784		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6426859		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6428132		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6429528		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6430792		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6432016		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6433235		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6434491		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6435731		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6437336		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6438896		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6440452		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6442086		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6443113		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6444365		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6445346		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6446438		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6447538		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6448622		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6449731		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6450613		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6451599		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6452453		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6453598		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6454686		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6455585		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6456439		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6457285		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6458373		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6459338		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6460426		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6461600		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6462692		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6463808		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6464896		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6465972		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6466863		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6467848		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6468706		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6469848		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6470935		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6471843		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6472849		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6473707		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6474614		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6475587		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6476695		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6477533		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6478855		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6479705		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6480628		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6481597		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6482484		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6483621		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6484496		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.6485399		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7212074		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7213589		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7216044		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7217941		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7219883		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7221894		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7223791		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7225552		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7227798		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7230376		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7233275		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7235479		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7237417		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7239302		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7240755		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7242278		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7243731		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7245185		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7246137		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7247320		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7248736		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7249959		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7251212		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7252468		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7254065		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7255641		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7257296		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7258835		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7260141		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7261672		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7263368		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7264792		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7266328		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7267859		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7269382		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7271045		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7272576		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7274177		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7276045		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7277573		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7279108		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.7280644		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
