TimeStamp		 Channel 00	 Channel 01
00:00:00.4057882	 ,4.8132  V	,4.2254  V	
00:00:00.4059212	 ,2.0348  V	,1.9283  V	
00:00:00.4060628	 ,4.7765  V	,4.2434  V	
00:00:00.4062016	 ,2.0256  V	,1.9210  V	
00:00:00.4063391	 ,4.6969  V	,4.2107  V	
00:00:00.4065144	 ,2.0067  V	,1.9063  V	
00:00:00.4066873	 ,4.8339  V	,4.2446  V	
00:00:00.4068540	 ,2.0449  V	,1.9222  V	
00:00:00.4069931	 ,4.8736  V	,4.2895  V	
00:00:00.4071372	 ,2.0339  V	,1.9246  V	
00:00:00.4072830	 ,4.6944  V	,4.2257  V	
00:00:00.4074201	 ,2.0262  V	,1.9170  V	
00:00:00.4075634	 ,4.7274  V	,4.2004  V	
00:00:00.4077021	 ,2.0180  V	,1.9112  V	
00:00:00.4078643	 ,4.8348  V	,4.2437  V	
00:00:00.4080330	 ,2.0153  V	,1.9078  V	
00:00:00.4082047	 ,4.7323  V	,4.2318  V	
00:00:00.4083422	 ,2.0198  V	,1.9115  V	
00:00:00.4084810	 ,4.7231  V	,4.2077  V	
00:00:00.4086583	 ,2.0189  V	,1.9136  V	
00:00:00.4087971	 ,4.8779  V	,4.2635  V	
00:00:00.4089449	 ,2.0403  V	,1.9286  V	
00:00:00.4090832	 ,4.8156  V	,4.2785  V	
00:00:00.4092216	 ,2.0345  V	,1.9277  V	
00:00:00.4093587	 ,4.6694  V	,4.2138  V	
00:00:00.4095090	 ,2.0272  V	,1.9210  V	
00:00:00.4096375	 ,4.7741  V	,4.2126  V	
00:00:00.4097376	 ,2.0052  V	,1.9045  V	
00:00:00.4098686	 ,4.8260  V	,4.2370  V	
00:00:00.4099655	 ,2.0064  V	,1.8959  V	
00:00:00.4806568	 ,4.7127  V	,4.2184  V	
00:00:00.4808260	 ,2.0238  V	,1.9106  V	
00:00:00.4809930	 ,4.7771  V	,4.2174  V	
00:00:00.4811893	 ,2.0247  V	,1.9161  V	
00:00:00.4813547	 ,4.8974  V	,4.2901  V	
00:00:00.4815596	 ,2.0519  V	,1.9353  V	
00:00:00.4816984	 ,4.7518  V	,4.2608  V	
00:00:00.4818232	 ,2.0446  V	,1.9335  V	
00:00:00.4819480	 ,4.6804  V	,4.1976  V	
00:00:00.4820736	 ,2.0336  V	,1.9268  V	
00:00:00.4821980	 ,4.8162  V	,4.2266  V	
00:00:00.4823245	 ,2.0198  V	,1.9164  V	
00:00:00.4824493	 ,4.7884  V	,4.2464  V	
00:00:00.4825646	 ,2.0162  V	,1.9115  V	
00:00:00.4827026	 ,4.7054  V	,4.1912  V	
00:00:00.4828323	 ,2.0208  V	,1.9118  V	
00:00:00.4829817	 ,4.8403  V	,4.2409  V	
00:00:00.4830909	 ,2.0418  V	,1.9280  V	
00:00:00.4831928	 ,4.8705  V	,4.2889  V	
00:00:00.4833278	 ,2.0543  V	,1.9387  V	
00:00:00.4834645	 ,4.6923  V	,4.2321  V	
00:00:00.4836345	 ,2.0125  V	,1.9176  V	
00:00:00.4837696	 ,4.7185  V	,4.1991  V	
00:00:00.4839145	 ,2.0385  V	,1.9200  V	
00:00:00.4840508	 ,4.8305  V	,4.2406  V	
00:00:00.4842183	 ,2.0262  V	,1.9213  V	
00:00:00.4843546	 ,4.7369  V	,4.2284  V	
00:00:00.4845196	 ,2.0360  V	,1.9213  V	
00:00:00.4846646	 ,4.7268  V	,4.2040  V	
00:00:00.4848276	 ,2.0333  V	,1.9210  V	
00:00:00.4849635	 ,4.8867  V	,4.2678  V	
00:00:00.4851338	 ,2.0296  V	,1.9261  V	
00:00:00.4852714	 ,4.8211  V	,4.2806  V	
00:00:00.4854352	 ,2.0372  V	,1.9271  V	
00:00:00.4855990	 ,4.6685  V	,4.2098  V	
00:00:00.4857657	 ,2.0287  V	,1.9185  V	
00:00:00.4859143	 ,4.7680  V	,4.2101  V	
00:00:00.4860785	 ,2.0342  V	,1.9225  V	
00:00:00.4862587	 ,4.8156  V	,4.2434  V	
00:00:00.4863482	 ,2.0128  V	,1.9124  V	
00:00:00.4864845	 ,4.6996  V	,4.2119  V	
00:00:00.4866570	 ,2.0336  V	,1.9176  V	
00:00:00.4868199	 ,4.7759  V	,4.2190  V	
00:00:00.4869550	 ,2.0140  V	,1.9127  V	
00:00:00.4871336	 ,4.8998  V	,4.2855  V	
00:00:00.4872999	 ,2.0101  V	,1.9084  V	
00:00:00.4874419	 ,4.7570  V	,4.2589  V	
00:00:00.4875774	 ,2.0150  V	,1.9066  V	
00:00:00.4877129	 ,4.6850  V	,4.2000  V	
00:00:00.4878660	 ,2.0339  V	,1.9176  V	
00:00:00.4880097	 ,4.8113  V	,4.2281  V	
00:00:00.4881735	 ,2.0159  V	,1.9149  V	
00:00:00.4883455	 ,4.7829  V	,4.2416  V	
00:00:00.4884810	 ,2.0305  V	,1.9182  V	
00:00:00.4886465	 ,4.6990  V	,4.2043  V	
00:00:00.4888103	 ,2.0165  V	,1.9091  V	
00:00:00.4889470	 ,4.8305  V	,4.2388  V	
00:00:00.4890862	 ,2.0186  V	,1.9145  V	
00:00:00.4892602	 ,4.8708  V	,4.2840  V	
00:00:00.4893957	 ,2.0461  V	,1.9295  V	
00:00:00.4895324	 ,4.6981  V	,4.2296  V	
00:00:00.4896958	 ,2.0174  V	,1.9078  V	
00:00:00.4898313	 ,4.7250  V	,4.2028  V	
00:00:00.4900091	 ,2.0174  V	,1.9103  V	
00:00:00.5606199	 ,4.8360  V	,4.2477  V	
00:00:00.5607607	 ,2.0134  V	,1.9042  V	
00:00:00.5608777	 ,4.7341  V	,4.2296  V	
00:00:00.5610313	 ,2.0177  V	,1.9103  V	
00:00:00.5612587	 ,4.7222  V	,4.2074  V	
00:00:00.5614464	 ,2.0156  V	,1.9097  V	
00:00:00.5616644	 ,4.8779  V	,4.2684  V	
00:00:00.5618273	 ,2.0226  V	,1.9164  V	
00:00:00.5619990	 ,4.8177  V	,4.2788  V	
00:00:00.5621849	 ,2.0201  V	,1.9142  V	
00:00:00.5623923	 ,4.6712  V	,4.2077  V	
00:00:00.5625992	 ,2.0385  V	,1.9197  V	
00:00:00.5627301	 ,4.7768  V	,4.2074  V	
00:00:00.5628525	 ,2.0339  V	,1.9225  V	
00:00:00.5629551	 ,4.8290  V	,4.2489  V	
00:00:00.5630578	 ,2.0250  V	,1.9173  V	
00:00:00.5631994	 ,4.7103  V	,4.2214  V	
00:00:00.5633837	 ,2.0174  V	,1.9091  V	
00:00:00.5635217	 ,4.7640  V	,4.2254  V	
00:00:00.5636953	 ,2.0122  V	,1.9088  V	
00:00:00.5638337	 ,4.8940  V	,4.2827  V	
00:00:00.5640094	 ,2.0027  V	,1.8987  V	
00:00:00.5641761	 ,4.7524  V	,4.2553  V	
00:00:00.5643522	 ,2.0021  V	,1.8920  V	
00:00:00.5645329	 ,4.6764  V	,4.2004  V	
00:00:00.5646724	 ,2.0089  V	,1.8978  V	
00:00:00.5648178	 ,4.8153  V	,4.2214  V	
00:00:00.5649557	 ,2.0128  V	,1.8981  V	
00:00:00.5651023	 ,4.7878  V	,4.2416  V	
00:00:00.5652739	 ,2.0153  V	,1.9017  V	
00:00:00.5654176	 ,4.7021  V	,4.2046  V	
00:00:00.5655559	 ,2.0336  V	,1.9069  V	
00:00:00.5657280	 ,4.8397  V	,4.2428  V	
00:00:00.5658881	 ,2.0250  V	,1.9188  V	
00:00:00.5660326	 ,4.8748  V	,4.2965  V	
00:00:00.5661718	 ,2.0201  V	,1.9200  V	
00:00:00.5663466	 ,4.6923  V	,4.2336  V	
00:00:00.5664854	 ,2.0198  V	,1.9106  V	
00:00:00.5666578	 ,4.7161  V	,4.2049  V	
00:00:00.5667958	 ,2.0262  V	,1.9124  V	
00:00:00.5669444	 ,4.8278  V	,4.2443  V	
00:00:00.5670828	 ,2.0385  V	,1.9237  V	
00:00:00.5672195	 ,4.7350  V	,4.2290  V	
00:00:00.5673566	 ,2.0214  V	,1.9179  V	
00:00:00.5675093	 ,4.7274  V	,4.2068  V	
00:00:00.5676776	 ,2.0262  V	,1.9185  V	
00:00:00.5678226	 ,4.8827  V	,4.2663  V	
00:00:00.5679609	 ,2.0247  V	,1.9200  V	
00:00:00.5681087	 ,4.8266  V	,4.2791  V	
00:00:00.5683140	 ,2.0485  V	,1.9332  V	
00:00:00.5684556	 ,4.6670  V	,4.2110  V	
